,Team,Week_1_Home_Away,Week_1_Opponent,Week_2_Home_Away,Week_2_Opponent,Week_3_Home_Away,Week_3_Opponent,Week_4_Home_Away,Week_4_Opponent,Week_5_Home_Away,Week_5_Opponent,Week_6_Home_Away,Week_6_Opponent,Week_7_Home_Away,Week_7_Opponent,Week_8_Home_Away,Week_8_Opponent,Week_9_Home_Away,Week_9_Opponent,Week_10_Home_Away,Week_10_Opponent,Week_11_Home_Away,Week_11_Opponent,Week_12_Home_Away,Week_12_Opponent,Week_13_Home_Away,Week_13_Opponent,Week_14_Home_Away,Week_14_Opponent,Week_15_Home_Away,Week_15_Opponent,Week_16_Home_Away,Week_16_Opponent,Week_17_Home_Away,Week_17_Opponent
10,Colts,Away,70,Home,84,Home,72,Away,82,Away,86,Home,63,Bye,Bye,Away,74,Home,88,Away,68,Home,79,Home,68,Away,60,Away,69,Home,60,Away,86,Home,70
11,Cowboys,Away,90,Home,65,Away,70,Home,86,Home,79,Home,73,Away,93,Away,72,Home,86,Bye,Bye,Away,84,Home,93,Away,88,Away,63,Home,83,Home,72,Away,79
12,Dolphins,Away,82,Home,77,Away,70,Home,70,Away,83,Home,72,Bye,Bye,Home,90,Away,73,Home,76,Away,87,Away,72,Home,63,Home,80,Home,82,Away,69,Away,77
13,Eagles,Away,93,Home,90,Home,63,Away,83,Away,86,Home,88,Home,79,Home,67,Bye,Bye,Away,79,Away,86,Home,70,Away,79,Home,83,Away,73,Away,67,Home,93
14,Falcons,Home,70,Away,67,Home,82,Away,79,Home,80,Away,84,Home,74,Away,80,Home,87,Bye,Bye,Away,83,Home,69,Home,83,Away,76,Home,90,Away,80,Away,90
15,Giants,Home,86,Away,82,Home,83,Away,90,Away,67,Home,93,Away,72,Home,90,Away,93,Home,72,Bye,Bye,Away,63,Away,70,Home,73,Home,86,Away,88,Home,67
16,Jaguars,Home,77,Away,68,Home,86,Away,63,Away,60,Home,74,Away,76,Bye,Bye,Home,60,Away,79,Home,86,Home,86,Away,84,Home,68,Away,88,Home,82,Away,77
17,Lions,Home,82,Away,79,Away,73,Home,83,Bye,Bye,Away,70,Away,65,Home,77,Away,84,Home,93,Away,80,Home,60,Away,82,Home,79,Away,68,Home,90,Home,84
18,Packers,Away,84,Home,74,Away,83,Home,65,Bye,Bye,Away,90,Away,60,Home,84,Away,83,Home,70,Away,77,Home,82,Home,72,Away,74,Home,80,Home,68,Away,82
19,Panthers,Home,69,Away,90,Away,76,Home,73,Away,65,Home,82,Away,83,Home,65,Away,80,Home,90,Home,74,Away,84,Bye,Bye,Home,87,Away,79,Away,93,Home,83
20,Patriots,Home,86,Away,70,Home,69,Away,80,Bye,Bye,Home,87,Home,83,Away,77,Away,72,Home,88,Away,60,Home,73,Away,76,Away,90,Away,86,Home,77,Home,72
21,Raiders,Away,80,Home,83,Away,82,Home,77,Away,80,Bye,Bye,Home,90,Away,86,Away,76,Home,87,Home,80,Away,65,Away,72,Home,77,Home,76,Home,86,Away,87
22,Rams,Home,67,Away,72,Away,77,Home,79,Away,93,Away,83,Home,82,Away,86,Bye,Bye,Home,70,Away,90,Home,83,Away,73,Home,82,Home,72,Away,70,Home,73
23,Ravens,Home,86,Away,60,Home,80,Away,93,Home,63,Away,72,Bye,Bye,Home,86,Away,77,Away,82,Home,68,Away,86,Home,67,Away,86,Home,70,Home,79,Away,63
24,Redskins,Home,72,Away,73,Away,86,Home,88,Home,90,Away,79,Home,67,Bye,Bye,Home,79,Away,74,Home,63,Away,67,Away,86,Away,83,Home,70,Home,80,Away,72
25,Saints,Home,90,Away,69,Home,79,Away,74,Home,76,Bye,Bye,Home,80,Away,82,Away,90,Home,83,Home,65,Away,87,Away,65,Away,72,Home,80,Home,84,Away,80
26,Seahawks,Away,65,Home,82,Home,67,Away,86,Home,84,Bye,Bye,Away,73,Home,83,Away,77,Away,90,Home,73,Away,72,Home,79,Home,72,Away,93,Home,90,Away,83
27,Steelers,Away,79,Home,87,Home,60,Bye,Bye,Home,72,Home,86,Away,68,Away,88,Away,67,Home,63,Away,70,Home,88,Home,93,Away,77,Away,63,Home,77,Away,86
28,Texans,Away,80,Home,88,Away,86,Home,84,Home,70,Away,68,Home,79,Bye,Bye,Away,70,Away,86,Home,82,Away,74,Home,77,Away,82,Away,77,Home,63,Home,68
29,Titans,Away,87,Home,70,Away,84,Bye,Bye,Home,77,Home,60,Home,86,Away,63,Home,82,Home,77,Away,88,Away,77,Home,86,Away,70,Home,74,Away,79,Away,60
30,Vikings,Home,79,Away,77,Home,68,Away,60,Away,70,Home,65,Bye,Bye,Away,79,Home,74,Away,82,Home,67,Home,80,Home,70,Away,90,Home,82,Away,83,Away,74
