,Team,Name,Rating,Experience,Salary,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
10,Colts,Carson Wentz,73,5,94400000,18.3,Home,70,18.6,Home,90,7.8,Away,68,17.9,Away,86,22.6,Away,88,17,Home,60,20.3,Away,83,20.3,Home,68,24.2,Home,72,7.1,Home,70,10,Away,77,22.3,Home,90,11.1,Away,60,-,Bye,Bye,7,Home,82,17.4,Away,73,10.9,Home,69,12.1,Away,70
11,Cowboys,Dak Prescott,90,5,66000000,28.4,Away,90,8.5,Away,76,20.1,Home,72,27,Home,80,21.7,Home,79,27.8,Away,82,BYE,Bye,Bye,-,Away,84,19.9,Home,87,26.3,Home,65,4.6,Away,80,25.3,Home,69,12.2,Away,83,11.9,Away,93,10.6,Away,79,31.3,Home,93,23,Home,73,31.8,Away,72
12,Dolphins,Tua Tagovailoa,73,1,2000000,17.2,Away,82,0.5,Home,77,-,Away,69,-,Home,77,-,Away,90,22.4,Away,70,28.5,Home,65,16.2,Away,77,-,Home,60,12.3,Home,88,18.5,Away,72,13.2,Home,80,17.9,Home,79,BYE,Bye,Bye,15.7,Home,72,11,Away,83,5.3,Away,68,12.2,Home,82
13,Eagles,Jalen Hurts,74,1,3700000,28.8,Away,65,21.8,Home,83,22.5,Away,67,28.2,Home,80,23.9,Away,80,26,Home,90,23.5,Away,69,11.2,Away,74,16.7,Home,76,19.6,Away,87,30.8,Home,83,9.9,Away,79,-,Away,72,BYE,Bye,Bye,28.6,Home,93,16.7,Home,79,13,Away,93,-,Home,67
14,Falcons,Matt Ryan,82,13,61000000,7.4,Home,72,19.3,Away,90,15.6,Away,79,29,Home,93,21.6,Home,72,-,Bye,Bye,18.4,Away,86,8.1,Home,80,28.5,Away,83,2.7,Away,67,4.1,Home,82,11.2,Away,70,12.1,Home,90,11.9,Away,80,13.4,Away,83,13.1,Home,74,6.6,Away,77,11.8,Home,83
15,Football Team,Taylor Heinicke,69,6,4080000,10.6,Home,76,21,Home,79,22.4,Away,77,27.9,Away,65,11.9,Home,83,10.3,Home,80,21.2,Away,79,13.8,Away,87,-,Bye,Bye,15.7,Home,90,23.1,Away,80,12.2,Home,70,15.8,Away,69,8.7,Home,67,-,Away,72,6.7,Away,67,10.3,Home,72,5.1,Away,79
16,Giants,Daniel Jones,70,2,2000000,21.4,Home,87,29.5,Away,93,16.5,Home,65,27.8,Away,83,4.8,Away,67,7.1,Home,90,16.5,Home,80,17.1,Away,80,8.1,Home,69,BYE,Bye,Bye,9.7,Away,90,15.1,Home,72,-,Away,86,-,Away,76,-,Home,67,-,Away,72,-,Away,82,-,Home,93
17,Jaguars,Trevor Lawrence,74,0,12670000,22.1,Away,60,8.8,Home,87,9.5,Home,73,17.8,Away,63,22.7,Home,68,15.9,Home,86,BYE,Bye,Bye,13.6,Away,70,5.1,Home,77,9.8,Away,77,8.6,Home,83,18,Home,65,6.8,Away,90,5,Away,68,10.5,Home,60,12.9,Away,72,10.3,Away,82,18.6,Home,77
18,Jets,Zach Wilson,72,0,12230000,19.3,Away,80,6.3,Home,82,4.6,Away,87,18.7,Home,68,9,Away,65,BYE,Bye,Bye,2,Away,82,-,Home,63,-,Away,77,-,Home,77,-,Home,86,11.1,Away,60,22,Home,72,11.4,Home,83,12,Away,86,23.2,Home,70,13.4,Home,90,9.9,Away,77
19,Lions,Jared Goff,72,5,82830000,29.9,Home,83,19.4,Away,79,9.1,Home,88,16.8,Away,82,7.1,Away,84,9.2,Home,63,13,Away,90,8.9,Home,72,BYE,Bye,Bye,4.6,Away,86,-,Away,86,12.8,Home,82,20.9,Home,84,12.6,Away,87,20.6,Home,73,-,Away,65,-,Away,70,17.5,Home,79
20,Packers,Aaron Rodgers,95,16,53350000,3.3,Away,83,26.8,Home,74,18,Away,83,24.1,Home,86,20.8,Away,63,23.7,Away,82,24.7,Home,93,15.7,Away,73,-,Away,80,11.5,Home,70,33.5,Away,84,26.3,Home,90,-,Bye,Bye,29.6,Home,82,23.8,Away,88,20,Home,86,20.3,Home,84,14.2,Away,74
21,Panthers,Sam Darnold,71,3,25330000,19.1,Home,72,19.9,Home,83,25.3,Away,60,33.5,Away,67,9.1,Home,72,16.1,Home,84,3.5,Away,79,11.8,Away,65,4.8,Home,82,-,Away,73,-,Home,93,-,Away,86,-,Bye,Bye,-,Home,65,-,Away,77,8.7,Home,90,3,Away,83,15.7,Away,90
22,Panthers,Cam Newton,71,10,1500000,-,Home,72,-,Home,83,-,Away,60,-,Away,67,-,Home,72,-,Home,84,-,Away,79,-,Away,65,-,Home,82,11.7,Away,73,26.2,Home,93,8.2,Away,86,-,Bye,Bye,14.8,Home,65,24.3,Away,77,5.6,Home,90,0.5,Away,83,0,Away,90
23,Patriots,Mac Jones,77,0,6900000,15.2,Home,86,7.4,Away,72,14.6,Home,83,17.9,Home,90,12.5,Away,60,15.8,Home,67,22.2,Home,72,11.7,Away,76,7,Away,80,19.9,Home,86,11.4,Away,65,21.5,Home,68,0.5,Away,77,BYE,Bye,Bye,19.2,Away,77,7.1,Home,77,22.3,Home,70,11.8,Away,86
24,Raiders,Derek Carr,83,7,113160000,25,Home,88,24.2,Away,86,22.2,Home,86,15.4,Away,76,8.2,Home,82,21.5,Away,87,20,Home,72,-,Bye,Bye,12.3,Away,79,19.2,Home,80,9.6,Home,63,21,Away,67,12.4,Home,93,11.5,Away,80,11.1,Away,86,9.5,Home,87,12.2,Away,77,15.3,Home,76
25,Rams,Matthew Stafford,83,12,86700000,24.3,Home,82,18.2,Away,77,29.5,Home,90,20.3,Home,73,17.5,Away,70,26.2,Away,79,27.2,Home,74,24.2,Away,60,15.1,Home,68,11.8,Away,83,BYE,Bye,Bye,23,Away,79,24,Home,70,23.5,Away,73,16.5,Home,70,9.7,Away,84,16.3,Away,88,19.5,Home,83
26,Ravens,Lamar Jackson,90,3,27520000,18,Away,69,34.3,Home,80,20.3,Away,74,19.4,Away,87,41.9,Home,77,13.8,Home,76,23.1,Home,63,BYE,Bye,Bye,32.6,Home,84,16.4,Away,86,-,Away,82,13.4,Home,86,18.6,Away,86,1.2,Away,86,-,Home,79,-,Away,63,-,Home,90,-,Home,86
27,Saints,Jameis Winston,76,6,500000,29.6,Home,79,10.3,Away,80,13.5,Away,82,13,Home,79,26.8,Away,93,BYE,Bye,Bye,16.9,Away,70,10.2,Home,90,-,Home,65,-,Away,68,-,Away,72,-,Home,77,-,Home,67,-,Away,72,-,Away,90,-,Home,86,-,Home,80,-,Away,65
28,Seahawks,Russell Wilson,88,9,87500000,27.1,Away,77,23.3,Home,68,16.6,Away,84,22.6,Away,83,10.1,Home,90,-,Away,86,-,Home,83,-,Home,70,-,Bye,Bye,7.6,Away,79,8.5,Home,73,19.5,Away,93,17.7,Home,83,21.2,Away,60,5.2,Away,90,16.5,Home,82,27.8,Home,74,25,Away,73
29,Steelers,Ben Roethlisberger,74,17,10080000,12,Away,77,14.8,Home,69,15.2,Home,63,10.3,Away,79,16,Home,87,10.9,Home,70,-,Bye,Bye,14.6,Away,86,16.2,Home,82,-,Home,74,22.9,Away,76,10.5,Away,63,19.3,Home,88,25.8,Away,84,11.9,Home,68,7.4,Away,80,7.8,Home,86,12.4,Away,88
30,Texans,Davis Mills,68,0,4060000,-,Home,70,7,Away,86,10.7,Home,80,-0.3,Away,77,24.7,Home,82,8.2,Away,77,3.4,Away,73,21.4,Home,90,-,Away,86,BYE,Bye,Bye,-,Away,68,-,Home,72,3.1,Home,77,18,Home,70,15.6,Away,70,18.1,Home,76,9.9,Away,83,27.2,Home,68
31,Titans,Ryan Tannehill,85,9,57000000,15.2,Home,73,14.6,Away,70,23.5,Home,77,18.8,Away,72,14,Away,70,13.9,Home,77,20.4,Home,80,23.2,Away,77,15,Away,90,18.6,Home,83,13.2,Home,60,9.1,Away,82,BYE,Bye,Bye,16.5,Home,70,10.9,Away,86,14.6,Home,83,13.5,Home,86,27.3,Away,60
32,Vikings,Kirk Cousins,81,9,36000000,22,Away,63,25.3,Away,73,25.1,Home,70,11.1,Home,86,14.4,Home,74,28.5,Away,80,BYE,Bye,Bye,13.2,Home,67,21.6,Away,88,17.5,Away,76,25.2,Home,79,16.5,Away,83,20.2,Away,74,16,Home,86,11.5,Away,82,17.3,Home,90,-,Away,79,21.9,Home,82
