,Team,Name,Rating,Experience,Salary,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
25,Patriots,Mac Jones,74,2,6900000,25.1,Home,95,14.7,Home,88,13.3,Away,95,2.7,Away,97,0.4,Home,87,6.9,Away,72,20,Home,91,13.2,Away,88,12.1,Home,82,,Home,77,,Bye,Bye,,Away,73,,Home,74,,Away,89,,Home,92,,Away,69,,Away,91,,Home,95
26,Raiders,Jimmy Garoppolo,77,9,72300000,16.1,Away,69,9.5,Away,91,20.7,Home,89,-,Away,74,11.7,Home,84,9.9,Home,90,-,Away,60,5.2,Away,81,-,Home,73,,Home,95,,Away,88,,Home,92,,Bye,Bye,,Home,79,,Home,74,,Away,92,,Away,77,,Home,69
27,Raiders,Brian Hoyer,61,14,1000000,-,Away,69,-,Away,91,-,Home,89,-,Away,74,-,Home,84,3.8,Home,90,3.2,Away,60,-,Away,81,-,Home,73,,Home,95,,Away,88,,Home,92,,Bye,Bye,,Home,79,,Home,74,,Away,92,,Away,77,,Home,69
28,Raiders,Aidan O'Connell,59,0,3830000,-,Away,69,-,Away,91,-,Home,89,10.8,Away,74,-,Home,84,-,Home,90,6,Away,60,-,Away,81,8.4,Home,73,,Home,95,,Away,88,,Home,92,,Bye,Bye,,Home,79,,Home,74,,Away,92,,Away,77,,Home,69
29,Rams,Matthew Stafford,75,14,97000000,14.5,Away,74,16,Home,98,13.5,Away,89,17.2,Away,77,16.9,Home,95,13.2,Home,67,15,Home,89,12.4,Away,97,-,Away,84,,Bye,Bye,,Home,74,,Away,67,,Home,99,,Away,95,,Home,82,,Home,87,,Away,73,,Away,98
30,Ravens,Lamar Jackson,91,5,58000000,7.6,Home,76,22.9,Away,89,28.2,Home,77,28.1,Away,99,10.9,Away,89,18.1,Away,80,33.9,Home,81,12,Away,67,11.5,Home,74,,Home,99,,Home,89,,Away,74,,Bye,Bye,,Home,72,,Away,87,,Away,98,,Home,88,,Home,89
31,Saints,Derek Carr,78,9,91000000,15.6,Home,80,7.7,Away,84,8.1,Away,84,3.2,Home,84,15.7,Away,90,17.3,Away,76,18.4,Home,87,18.3,Away,77,16.7,Home,60,,Away,79,,Bye,Bye,,Away,81,,Home,81,,Home,84,,Home,73,,Away,72,,Away,84,,Home,81
32,Seahawks,Geno Smith,81,10,48000000,9.1,Home,72,23.1,Away,81,16.4,Home,84,8.2,Away,73,BYE,Bye,Bye,13,Away,89,14.8,Home,67,15.9,Home,99,3.7,Away,95,,Home,82,,Away,72,,Home,98,,Away,97,,Away,98,,Home,95,,Away,80,,Home,89,,Away,67
33,Steelers,Kenny Pickett,73,1,6680000,11.7,Home,98,11.3,Home,99,18.5,Away,72,4.5,Away,76,12.4,Home,95,BYE,Bye,Bye,15.2,Away,72,3.9,Home,87,10.3,Home,80,,Home,84,,Away,99,,Away,89,,Home,67,,Home,90,,Away,77,,Home,89,,Away,74,,Away,95
34,Texans,C.J. Stroud,73,0,3650000,9.7,Away,95,21.5,Home,77,20.6,Away,87,21.8,Home,89,14.2,Away,81,15.2,Home,87,BYE,Bye,Bye,12.9,Away,84,41.8,Home,84,,Away,89,,Home,67,,Home,87,,Home,69,,Away,95,,Away,80,,Home,99,,Home,80,,Away,77
35,Titans,Ryan Tannehill,76,11,57000000,5.4,Away,87,21,Home,74,4.2,Away,99,13.7,Home,89,10.8,Away,77,2,Home,95,BYE,Bye,Bye,-,Home,81,-,Away,89,,Away,84,,Away,87,,Home,84,,Home,77,,Away,88,,Home,76,,Home,74,,Away,76,,Home,87
36,Titans,Will Levis,69,0,5350000,-,Away,87,-,Home,74,-,Away,99,-,Home,89,-,Away,77,-,Home,95,BYE,Bye,Bye,26.6,Home,81,9.7,Away,89,,Away,84,,Away,87,,Home,84,,Home,77,,Away,88,,Home,76,,Home,74,,Away,76,,Home,87
37,Vikings,Kirk Cousins,84,11,15500000,17.5,Home,84,28.6,Away,95,26.7,Home,74,11.6,Away,84,19.9,Home,92,8.7,Away,60,22,Home,98,19.9,Away,84,-,Away,81,,Home,87,,Away,69,,Home,60,,Bye,Bye,,Away,72,,Away,89,,Home,81,,Home,84,,Away,81
