,Team,Name,Rating,1,Week_1_Home_Away,Week_1_Opponent,2,Week_2_Home_Away,Week_2_Opponent,3,Week_3_Home_Away,Week_3_Opponent,4,Week_4_Home_Away,Week_4_Opponent,5,Week_5_Home_Away,Week_5_Opponent,6,Week_6_Home_Away,Week_6_Opponent,7,Week_7_Home_Away,Week_7_Opponent,8,Week_8_Home_Away,Week_8_Opponent,9,Week_9_Home_Away,Week_9_Opponent,10,Week_10_Home_Away,Week_10_Opponent,11,Week_11_Home_Away,Week_11_Opponent,12,Week_12_Home_Away,Week_12_Opponent,13,Week_13_Home_Away,Week_13_Opponent,14,Week_14_Home_Away,Week_14_Opponent,15,Week_15_Home_Away,Week_15_Opponent,16,Week_16_Home_Away,Week_16_Opponent,17,Week_17_Home_Away,Week_17_Opponent,18,Week_18_Home_Away,Week_18_Opponent
71,Falcons,Desmond Ridder,70,-,Home,87,-,Away,72,-,Away,74,-,Home,99,-,Away,84,-,Home,98,-,Away,89,-,Home,84,-,Home,74,-,Away,84,-,Home,60,-,Away,79,-,Home,89,BYE,Bye,Bye,7.7,Away,87,9.5,Away,95,5.7,Home,67,15.9,Home,84
72,Falcons,Feleipe Franks,59,-,Home,87,-,Away,72,-,Away,74,-,Home,99,0,Away,84,-,Home,98,0,Away,89,0,Home,84,-,Home,74,-,Away,84,-,Home,60,-,Away,79,0,Home,89,BYE,Bye,Bye,0,Away,87,-,Away,95,-,Home,67,-,Home,84
73,Panthers,Sam Darnold,71,-,Home,99,-,Away,73,-,Home,87,-,Home,67,-,Home,98,-,Away,72,-,Home,84,-,Away,81,BYE,Away,89,-,Home,81,-,Away,95,16.9,Home,69,-,Bye,Bye,11.8,Away,74,13.2,Home,89,21.9,Home,81,22.6,Away,84,2.9,Away,87
74,Panthers,Matt Corral,68,0,Home,99,-,Away,73,-,Home,87,-,Home,67,-,Home,98,-,Away,72,-,Home,84,-,Away,81,-,Away,89,-,Home,81,-,Away,95,-,Home,69,-,Bye,Bye,0,Away,74,-,Home,89,-,Home,81,-,Away,84,-,Away,87
75,Panthers,P.J. Walker,62,-,Home,99,-,Away,73,-,Home,87,-,Home,67,2.4,Home,98,2.3,Away,72,15.1,Home,84,17.7,Away,81,-1,Away,89,5.7,Home,81,-,Away,95,-,Home,69,-,Bye,Bye,-,Away,74,-,Home,89,-,Home,81,-,Away,84,-,Away,87
76,Giants,Daniel Jones,70,17,Away,80,13.1,Home,84,14.7,Home,97,21.6,Home,60,12.4,Away,84,13.5,Home,95,28.8,Away,87,9,Away,74,BYE,Bye,Bye,18.3,Home,76,26.6,Home,81,14.5,Away,97,17.1,Home,79,19.4,Home,95,9.9,Away,79,21.8,Away,79,36.2,Home,77,-,Away,95
77,Giants,Tyrod Taylor,69,-,Away,80,0,Home,84,-,Home,97,2.4,Home,60,-,Away,84,-,Home,95,-,Away,87,-,Away,74,BYE,Bye,Bye,-,Home,76,-,Home,81,-,Away,97,-,Home,79,9.9,Home,95,-,Away,79,-,Away,79,-,Home,77,-,Away,95
78,Giants,Davis Webb,52,-,Away,80,-,Home,84,-,Home,97,-,Home,60,-,Away,84,-,Home,95,-,Away,87,-,Away,74,-,Bye,Bye,-,Home,76,-,Home,81,-,Away,97,-,Home,79,-,Home,95,-,Away,79,-,Away,79,-,Home,77,20.8,Away,95
79,Steelers,Kenny Pickett,68,-,Away,89,-,Home,90,-,Away,99,15.3,Home,95,13.1,Away,91,8.3,Home,84,13.3,Away,88,8.3,Away,95,BYE,Bye,Bye,19.1,Home,87,16,Home,89,12.2,Away,77,13.3,Away,81,1.6,Home,95,-,Away,84,13.7,Home,72,10.9,Away,95,13.9,Home,99
80,Seahawks,Jacob Eason,62,-,Home,69,-,Away,98,-,Home,81,-,Away,81,-,Away,87,1.4,Home,67,-,Away,74,-,Home,73,BYE,Away,67,-,Away,84,-,Bye,Bye,-,Home,72,-,Away,72,-,Home,84,-,Home,98,-,Away,92,-,Home,95,-,Home,72
81,Seahawks,Geno Smith,60,17.2,Home,69,7.1,Away,98,19.9,Home,81,31.7,Away,81,24,Away,87,12.7,Home,67,14.1,Away,74,19.1,Home,73,21.8,Away,67,19.2,Away,84,BYE,Bye,Bye,20.3,Home,72,24,Away,72,22.6,Home,84,15.3,Home,98,13.2,Away,92,17.1,Home,95,15.6,Home,72
82,Chiefs,Chad Henne,61,0,Away,67,-,Home,74,-,Away,77,-,Away,84,-,Home,72,-,Home,91,-0.3,Away,98,-,Bye,Bye,-,Home,80,-,Home,87,-,Away,74,-,Home,72,-,Away,89,-,Away,69,-,Away,76,-,Home,74,-,Home,69,-0.2,Away,72
