,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,Year
24,25,Gardner Minshew II,QB,IND,0,11.1,13.1,-,6.3,12.6,28.1,15.8,9.6,,,,,,,,,,12.1,96.6,2023
25,26,Bryce Young,QB,CAR,9.5,13.5,-,7.2,20.3,12.7,BYE,14.5,12,,,,,,,,,,12.8,89.7,2023
26,27,Kenny Pickett,QB,PIT,11.7,11.3,18.5,4.5,12.4,BYE,15.2,3.9,10.3,,,,,,,,,,11.0,87.7,2023
27,28,Zach Wilson,QB,NYJ,9.2,11.4,6.4,19.2,9.6,10.9,BYE,12.1,7.2,,,,,,,,,,10.8,86.0,2023
28,29,Anthony Richardson,QB,IND,21.9,17.7,-,29.6,4.4,-,-,-,-,,,,,,,,,,18.4,73.7,2023
29,30,Deshaun Watson,QB,CLE,21.7,12.6,21.2,-,BYE,-,-0.8,-,19,,,,,,,,,,14.7,73.6,2023
30,31,Jimmy Garoppolo,QB,LV,16.1,9.5,20.7,-,11.7,9.9,-,5.2,-,,,,,,,,,,12.2,73.1,2023
31,32,Daniel Jones,QB,NYG,6.5,31.7,5,10.7,7.2,-,-,-,1.9,,,,,,,,,,10.5,63.0,2023
32,33,Ryan Tannehill,QB,TEN,5.4,21,4.2,13.7,10.8,2,BYE,-,-,,,,,,,,,,9.5,57.1,2023
33,34,Tyson Bagent,QB,CHI,-,-,-,-,-,6.7,12.9,13.2,18.8,,,,,,,,,,12.9,51.6,2023
34,35,Tyrod Taylor,QB,NYG,0.2,-,0.2,-,4.8,10.4,21.7,3.6,-,,,,,,,,,,6.8,41.0,2023
35,36,Will Levis,QB,TEN,-,-,-,-,-,-,BYE,26.6,9.7,,,,,,,,,,18.2,36.3,2023
36,37,Taylor Heinicke,QB,ATL,-,-,-,-,-,-,-,12.4,15.7,,,,,,,,,,14.1,28.1,2023
37,38,Aidan O'Connell,QB,LV,-,-,-,10.8,-,-,6,-,8.4,,,,,,,,,,8.4,25.2,2023
38,39,P.J. Walker,QB,CLE,-,-,-,-,BYE,5.8,6.4,12.6,0,,,,,,,,,,6.2,24.8,2023
39,40,Andy Dalton,QB,CAR,-,-,23.5,-,0.1,-,BYE,-,-,,,,,,,,,,11.8,23.6,2023
40,41,Tommy DeVito,QB,NYG,-,-,-,-,-,-,0,7.2,10.7,,,,,,,,,,6.0,17.9,2023
41,42,Mitch Trubisky,QB,PIT,-,-,-,0.7,-,BYE,-,9.3,-,,,,,,,,,,5.0,10.0,2023
42,43,Tyler Huntley,QB,BAL,-,-,-,0.8,-,-,0,-,6.3,,,,,,,,,,2.4,7.1,2023
43,44,Brian Hoyer,QB,LV,-,-,-,-,-,3.8,3.2,-,-,,,,,,,,,,3.5,6.9,2023
44,45,Brett Rypien,QB,SEA,-,-,-,-,BYE,-,-,1.7,4.1,,,,,,,,,,2.9,5.8,2023
45,46,Mike White,QB,MIA,-,-,6.6,-,-,-1.4,-,-,-,,,,,,,,,,2.6,5.2,2023
46,47,Dorian Thompson-Robinson,QB,CLE,-,-,-,4.2,BYE,-,-,0.4,-,,,,,,,,,,2.3,4.6,2023
47,48,Drew Lock,QB,SEA,-,-,-,3.6,BYE,-,-,-,-,,,,,,,,,,3.6,3.6,2023
48,49,Bailey Zappe,QB,NE,-,-,-,2.3,0.9,-,-,-,-,,,,,,,,,,1.6,3.2,2023
49,50,Malik Willis,QB,TEN,-,-,-,-,-,4.7,BYE,-1.6,-,,,,,,,,,,1.5,3.1,2023
50,51,Jaren Hall,QB,MIN,-,-,-,-,-,-,-,-1.2,4.2,,,,,,,,,,1.5,3.0,2023
51,52,Jameis Winston,QB,NO,-,-,4,-1,-0.4,-,-,-,-,,,,,,,,,,0.9,2.6,2023
52,53,Clayton Tune,QB,ARI,0,-,-,-,-,-,0.2,-,1.1,,,,,,,,,,0.4,1.3,2023
53,54,Cooper Rush,QB,DAL,0,0,-,0.6,0.1,-,BYE,-0.2,-,,,,,,,,,,0.1,0.5,2023
54,55,C.J. Beathard,QB,JAC,-,-,0.4,-,-,-0.2,-,-,BYE,,,,,,,,,,0.1,0.2,2023
55,56,Chris Oladokun,QB,KC,-,-,-,-,-,0,-,0,-,,,,,,,,,,0.0,0.0,2023
56,56,Aaron Rodgers,QB,NYJ,0,-,-,-,-,-,BYE,-,-,,,,,,,,,,0.0,0.0,2023
57,56,Malik Cunningham,QB,NE,-,-,-,-,-,0,-,-,-,,,,,,,,,,0.0,0.0,2023
58,56,Sean Clifford,QB,GB,0,-,-,-,-,BYE,-,-,-,,,,,,,,,,0.0,0.0,2023
59,56,Max Duggan,QB,LAC,-,-,-,-,BYE,-,-,-,0,,,,,,,,,,0.0,0.0,2023
60,61,Jake Browning,QB,CIN,-0.1,-,-,-,-,-,BYE,-,-,,,,,,,,,,-0.1,-0.1,2023
61,62,Teddy Bridgewater,QB,DET,-,-,-,-,-0.2,-,-,-,BYE,,,,,,,,,,-0.2,-0.2,2023
62,63,Nathan Peterman,QB,CHI,-,-,-,-,-,-,-0.4,-,-,,,,,,,,,,-0.4,-0.4,2023
63,64,Sam Darnold,QB,SF,-0.2,-,-0.1,-0.1,-0.1,-,-,-,BYE,,,,,,,,,,-0.1,-0.5,2023
64,65,Kyle Allen,QB,BUF,-,-0.2,-0.2,-0.3,-,0,-,-,-,,,,,,,,,,-0.2,-0.7,2023
65,66,Blaine Gabbert,QB,KC,-,-,-0.9,-,-,-,-,-,-,,,,,,,,,,-0.9,-0.9,2023
