,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,Year
53,54,P.J. Walker,QB,CLE,-,-,-,-,-,-,2.6,-0.1,-,6.3,-,2.5,BYE,5.5,-,-,-,-,3.4,16.8,2021
54,55,Marcus Mariota,QB,PHI,3.1,-,-,-,-,-,0.4,-,0.6,-,-,6.4,-,BYE,0.3,-,1.6,2.5,2.1,14.9,2021
55,56,Jake Fromm,QB,WAS,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,3.3,1.2,-,9.4,4.6,13.9,2021
56,57,Brandon Allen,QB,SF,-,-,-,-,-,4,-,-,0.2,-,-,-0.1,-,-,-,-,0,9.7,2.8,13.9,2021
57,58,Sean Mannion,QB,MIN,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,13,-,13.0,13.0,2021
58,59,Brian Hoyer,QB,LV,-,-,-,-,-,-,2.9,BYE,-0.3,7.2,-,-0.1,-,-,-,-,2.6,-,2.5,12.3,2021
59,60,Nick Mullens,QB,MIN,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,9.9,-,-,-,9.9,9.9,2021
60,61,Mitch Trubisky,QB,PIT,-,-0.2,1.9,7.3,-,-,BYE,-,-,-,-0.2,-,-,-,-,-,-,0.3,1.8,9.1,2021
61,62,Kyle Allen,QB,BUF,-,-,-,-,-,-,BYE,-,-,-,-,-,-,1.2,-,6.7,-,-,4.0,7.9,2021
62,63,Garrett Gilbert,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.8,-,-,-,7.8,7.8,2021
63,64,Ian Book,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4.0,4.0,2021
64,65,Chad Henne,QB,FA,-,-,-,-,-,-,3.7,-,-,-0.2,-,-,-,-0.2,-,0,-,-,0.8,3.3,2021
65,66,Chris Streveler,QB,FA,-,-,-,-,-,-,-,-,0.2,1.8,-,-,-,-,-,-,-,-,1.0,2.0,2021
66,67,Blaine Gabbert,QB,KC,-,-0.3,-,-,1.5,-,0.6,-,-,-,0.2,BYE,-,-,-,0,-,-0.1,0.3,2.0,2021
