,#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,Year
44,45,Jeff Driskel,QB,ARI,-,19.7,11.4,0.9,-,-,-,BYE,-,-,-,-,-,-,-,-,-,10.7,32.1,2020
45,46,Marcus Mariota,QB,PHI,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,26.8,-,-,26.8,26.8,2020
46,47,Chad Henne,QB,FA,-,-,-,-,-,-,6.3,0.7,-,-,-,-,-,-,-,-,16.7,7.9,23.7,2020
47,48,Ryan Finley,QB,FA,-,-,0,-,-,-,-,-,-,-,2.1,-,0.6,0.2,18.3,-,-,4.2,21.2,2020
48,49,Jacoby Brissett,QB,WAS,0,-,0.7,-,-,-,-,BYE,0,6.2,0.9,12.3,0.1,-0.2,0.2,0.1,0.3,1.9,20.6,2020
49,50,Mason Rudolph,QB,PIT,-,-,-,BYE,-,-0.1,-,-,0.1,0,-0.4,-,-,-,-,-,19.7,3.9,19.4,2020
50,51,Colt McCoy,QB,FA,-,-,-,-,-,-,-,-,-,-,-,1.9,9.4,-1.3,9.1,-,-,4.8,19.2,2020
51,52,Jarrett Stidham,QB,DEN,-,-,-,4.7,BYE,-,1.9,-,-,-,-,-,6.2,1.4,-,1.8,-,3.2,15.9,2020
52,53,Garrett Gilbert,QB,FA,-,-,-,-,-,-,-,-,15.5,-,-,-,-,-,-,-,0,7.8,15.5,2020
53,54,Blaine Gabbert,QB,KC,-,-,-,-,-,0.2,-,-,-0.1,0,-,-,-,-,-,15.2,-,3.8,15.3,2020
54,54,Brett Rypien,QB,SEA,-,-,1.1,14.2,-,BYE,0,-,-,-,-,-,-,-,-,-,-,5.1,15.3,2020
55,56,Chase Daniel,QB,FA,-,-,-,-,-,-,-,-,7.3,-,-,-,-,1.2,2.3,3.4,-,3.5,14.2,2020
56,57,John Wolford,QB,TB,-,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,13.8,13.8,13.8,2020
57,58,P.J. Walker,QB,CLE,-,-,-,-,-,-,-,0.1,BYE,0.5,12.1,-,-,-,-,-,0.8,3.4,13.5,2020
58,59,Taylor Heinicke,QB,ATL,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,11.7,-,11.7,11.7,2020
59,60,Matt Barkley,QB,NYG,-,-,-,-,0.9,-,-,-,-,-,BYE,0,-,-,0,0.1,9.3,2.1,10.3,2020
60,61,Trace McSorley,QB,CHI,-,-,-,-,-,-,-,-,-,-,BYE,8.7,-,0.6,-,-,-,4.7,9.3,2020
61,62,Tyrod Taylor,QB,NYG,9,-,-,-,-,-,-,-,0,-,BYE,-,-,-,-,-,-,4.5,9.0,2020
62,63,Chris Streveler,QB,FA,0.3,0,0,-,-,-,-,-,-,-,0,-,-,-,-,-,8.4,1.7,8.7,2020
63,64,Ben DiNucci,QB,DEN,-,-,-,-,BYE,0,1.6,5.4,-,-,-,-,-,-,-,-,-,2.3,7.0,2020
64,65,Robert Griffin III,QB,FA,0.3,-,-,-0.7,-0.1,-,-,-,-,-,-,5.1,-,-,-,-,-,1.1,4.6,2020
65,66,Brian Hoyer,QB,LV,-,-,-,3,-,BYE,-,-,-,-,-,-,-,-,-,-,-,3.0,3.0,2020
66,67,Tyler Huntley,QB,BAL,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,2.1,-,0.8,1.5,2.9,2020
67,68,David Blough,QB,DET,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,2.8,-,2.8,2.8,2020
68,69,Tommy Stevens,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.4,2.4,2020
69,69,Jameis Winston,QB,NO,-,-,-,-,-,BYE,-,-,0.2,2.3,-,0,-,-,-,-,-0.1,0.6,2.4,2020
70,71,Joshua Dobbs,QB,MIN,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,2.1,2.1,2.1,2020
71,72,Nathan Peterman,QB,CHI,-,-,-,-,-,-,-,-,-,-,BYE,1.9,-,-,-,-,-,1.9,1.9,2020
72,73,Case Keenum,QB,HOU,-,-,-,-,-,1.8,-,BYE,-,-,-,-,-,-,-,0,-,0.9,1.8,2020
73,74,Logan Woodside,QB,ATL,-,-,-,-,-,-,-,-,-,0,0.3,-0.5,-,1.8,-0.3,0,-,0.2,1.3,2020
74,75,Geno Smith,QB,SEA,-,-,-,-,-,BYE,-,-,-,-,-,-,-,1.1,-,-,-,1.1,1.1,2020
75,76,AJ McCarron,QB,CIN,-,-,-,-,-,-,-,-,BYE,-,-,-,-,0,-,-,0.8,0.4,0.8,2020
76,77,Tyler Bray,QB,FA,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,-,-,0.7,0.7,2020
77,78,John Lovett,QB,FA,0,0,0,0,-,0,0,0,0.6,-,-,-,-,-,-,-,-,0.1,0.6,2020
78,79,Joe Webb III,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,0.0,0.0,2020
79,79,Mike White,QB,MIA,-,-,-,-,-,-,BYE,-,-,-,0,-,-,-,-,-,-,0.0,0.0,2020
80,81,Easton Stick,QB,LAC,-,-,-,-,-,BYE,0,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,2020
81,82,Matt Schaub,QB,FA,-,-,-,-,-,-,-,-,-,-,-,-0.4,-,-,-,-,-,-0.4,-0.4,2020
82,83,Nate Sudfeld,QB,DET,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,-0.5,-0.5,-0.5,2020
83,84,Tim Boyle,QB,NYJ,-0.2,-0.1,-,-0.1,-,0,-0.1,-,-0.1,BYE,-,0,-,-,-,-0.3,-,-0.1,-0.9,2020
